Survey Name,Question,Type,Official Answers
,I start conversations.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I am not interested in other people's problems.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I get chores done right away.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I am easily disturbed.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I have excellent ideas.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I have little to say.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I have a soft heart.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I often forget to put things back in their proper place.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I get upset easily.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I do not have a good imagination.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I talk to a lot of different people at parties.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I am not really interested in others.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I like order.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I change my mood a lot.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I am quick to understand things.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I don't like to draw attention to myself.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I take time out for others.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I shirk my duties.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I have frequent mood swings.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I use difficult words.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I don't mind being the center of attention.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I feel others' emotions.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I follow a schedule.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I get irritated easily.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I spend time reflecting on things.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I am quiet around strangers.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I make people feel at ease.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I am exacting in my work.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I often feel blue.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I am full of ideas.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,"Thank you for participating! You will now be given your last set of questions. Please click ""next"" to continue.",Outro,
